miRNA,RF,RRF
hsa-miR-195    ,18,0.0001
hsa-miR-301b   ,17.5,0.0001
hsa-miR-183*   ,17,0.0001
hsa-miR-20a*   ,17,0.0001
hsa-miR-760    ,17,0.0001
hsa-miR-30d*   ,16.5,0.0001
hsa-miR-548e   ,16,0.0001
hsa-miR-30c-2* ,15,0.0001
hsa-miR-210    ,15,0.0001
hsa-miR-1250   ,15,0.0001
hsa-miR-877    ,14,0.0001
hsa-miR-376c   ,14,0.0001
hsa-miR-330-3p ,14,0.0001
hsa-miR-19b-1* ,14,0.0001
hsa-miR-26a-2* ,14,0.0001
hsa-miR-570    ,14,0.0001
hsa-miR-200a*  ,14,0.0001
hsa-miR-140-5p ,13,0.0001
hsa-miR-148a*  ,13,0.0001
hsa-let-7i*    ,13,0.0001
hsa-miR-331-5p ,13,0.0001
hsa-miR-193b*  ,13,0.0001
hsa-miR-369-3p ,13,0.0001
hsa-miR-584    ,13,0.0001
hsa-miR-376b   ,12,0.0001
hsa-miR-455-5p ,12,0.0001
hsa-miR-338-5p ,12,0.0001
hsa-miR-22*    ,12,0.0001
hsa-miR-218    ,12,0.0001
hsa-miR-106a   ,11.83,0.0001
hsa-miR-576-5p ,11,0.0001
hsa-miR-491-5p ,11,0.0001
hsa-miR-363    ,11,0.0001
hsa-miR-576-3p ,10,0.0001
hsa-miR-134    ,10,0.0001
hsa-miR-940    ,10,0.0001
hsa-miR-200b*  ,10,0.0001
hsa-miR-146b-5p,10,0.0001
hsa-miR-556-5p ,10,0.0001
hsa-miR-196b   ,10,0.0001
hsa-miR-338-3p ,10,0.0001
hsa-miR-199a-3p,9.33,0
hsa-miR-424*   ,9,0
hsa-miR-33a*   ,9,0
hsa-miR-362-3p ,9,0
hsa-miR-618    ,8,0
hsa-miR-376a   ,8,0
hsa-miR-185*   ,8,0
hsa-miR-148b*  ,8,0
hsa-miR-9*     ,8,0
hsa-let-7f-1*  ,8,0
hsa-miR-20b    ,8,0
hsa-miR-103-2* ,8,0
hsa-miR-500    ,7,0
hsa-miR-24-1*  ,7,0
hsa-miR-92b*   ,7,0
hsa-miR-99a*   ,7,0
hsa-miR-769-3p ,7,0
hsa-miR-504    ,7,0
hsa-miR-382    ,7,0
hsa-miR-409-3p ,7,0
hsa-miR-100    ,6.5,0
hsa-miR-1254   ,6,0
hsa-miR-625    ,6,0
hsa-miR-454*   ,6,0
hsa-miR-574-3p ,6,0
hsa-miR-1252   ,6,0
hsa-miR-379    ,6,0
hsa-miR-582-5p ,6,0
hsa-miR-1296   ,6,0
hsa-let-7e*    ,6,0
hsa-miR-18a*   ,6,0
hsa-miR-627    ,6,0
hsa-miR-665    ,5,0
hsa-miR-493*   ,5,0
hsa-miR-127-5p ,5,0
hsa-miR-651    ,5,0
hsa-let-7b*    ,5,0
hsa-miR-296-5p ,5,0
hsa-miR-495    ,5,0
hsa-miR-132    ,5,0
hsa-miR-374b*  ,5,0
hsa-miR-15a*   ,5,0
hsa-miR-935    ,5,0
hsa-miR-708*   ,5,0
hsa-miR-342-5p ,5,0
hsa-miR-548k   ,5,0
hsa-miR-551b   ,5,0
hsa-miR-199b-3p,4.67,0
hsa-miR-1180   ,4,0
hsa-miR-550*   ,4,0
hsa-miR-615-5p ,4,0
hsa-miR-182*   ,4,0
hsa-miR-1277   ,4,0
hsa-miR-1      ,4,0
hsa-miR-548o   ,4,0
hsa-miR-653    ,4,0
hsa-miR-505*   ,4,0
hsa-miR-184    ,4,0
hsa-miR-29b-2* ,4,0
hsa-miR-548b-3p,4,0
hsa-miR-23a*   ,4,0
hsa-miR-328    ,4,0
hsa-miR-451    ,4,0
hsa-miR-483-5p ,4,0
hsa-miR-556-3p ,4,0
hsa-let-7f-2*  ,4,0
hsa-miR-135b*  ,4,0
hsa-miR-222*   ,3,0
hsa-miR-31*    ,3,0
hsa-miR-1226*  ,3,0
hsa-miR-1303   ,3,0
hsa-miR-34a*   ,3,0
hsa-miR-641    ,3,0
hsa-miR-548d-3p,3,0
hsa-miR-616*   ,3,0
hsa-miR-147b   ,3,0
hsa-miR-32*    ,3,0
hsa-miR-624    ,3,0
hsa-miR-502-5p ,3,0
hsa-miR-190b   ,3,0
hsa-miR-127-3p ,3,0
hsa-miR-136*   ,3,0
hsa-miR-629*   ,3,0
hsa-miR-1292   ,3,0
hsa-miR-597    ,3,0
